Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
117,"A Lavareda","Emoções ocultas e estratégias eleitorais",2009,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=vGMrDQAAQBAJ&oi=fnd&pg=PT2&dq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&ots=PZZPbdjYvh&sig=4_6S34cOBNcetzm-AUoEH0Xk_A0","https://scholar.google.com/scholar?cites=15667909604310504655&as_sdt=2005&sciodt=2007&hl=en",402,"2022-11-14 12:38:01","BOOK","","","",,,,,117,9.00,117,1,13,"… As eleições do Brasil pós-redemocratização e a campanha de … que influenciam os resultados eleitorais, antes mesmo que se … após eleito, Steele anunciou sua receita: “Levar o partido …","","https://scholar.google.com/scholar?q=related:z9Tb4cWYb9kJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
24,"A Lavareda, H Telles","A lógica das eleições municipais",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=129lDwAAQBAJ&oi=fnd&pg=PT3&dq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&ots=4GAoAwUauj&sig=HtEvxbYKon_assmieoZI1iCx2NM","https://scholar.google.com/scholar?cites=8875504208957575098&as_sdt=2005&sciodt=2007&hl=en",419,"2022-11-14 12:38:01","BOOK","","","",,,,,24,4.00,12,2,6,"… local e das campanhas eleitorais nos resultados das urnas, … da economia como um todo debilitar as receitas, o impacto das … candidatos, e a campanha eleitoral — forneçam o principal …","","https://scholar.google.com/scholar?q=related:uo9muQ0gLHsJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Leandro Alves da Silva","Análise de políticas municipais de habitação e urbanismo: policy, eficiência e controle externo na esfera municipal",2004,"","attena.ufpe.br","https://attena.ufpe.br/handle/123456789/1849","",970,"2022-11-14 12:38:01","","","","",,,,,0,0.00,0,1,18,"… aceitos ou rejeitados os resultados da pesquisa científica … proporção de receita tributária no bojo de suas receitas totais. … parte desse dinheiro na campanha de reeleição do deputado…","https://attena.ufpe.br/bitstream/123456789/1849/1/arquivo5084_1.pdf","https://scholar.google.com/scholar?q=related:YAXXD8hUVZoJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
20,"A Marenco","Quando leis não produzem os resultados esperados: financiamento eleitoral em perspectiva comparada",2010,"Dados","SciELO Brasil","https://www.scielo.br/j/dados/a/hKZXHYxBdzNdrHP37Zkw3Px/?lang=pt","https://scholar.google.com/scholar?cites=14587718649227192394&as_sdt=2005&sciodt=2007&hl=en",218,"2022-11-14 12:38:01","HTML","","","",,,,,20,1.67,20,1,12,"… A campanha vitoriosa de Barack Obama teria arrecadado … sobre financiamento de partidos e campanhas eleitorais: uma … ou a obrigação em publicizar sua receita, em vez de esperar …","https://www.scielo.br/j/dados/a/hKZXHYxBdzNdrHP37Zkw3Px/?lang=pt","https://scholar.google.com/scholar?q=related:SiiHitL8ccoJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
5,"A Marenco","When laws fail to produce the expected results: Election finance from a comparative perspective",2010,"DADOS: Revista de Ciencias Sociais","search.proquest.com","https://search.proquest.com/openview/a6881bc763685af2f4d84b7767086102/1?pq-origsite=gscholar&cbl=2029257","https://scholar.google.com/scholar?cites=17437494337009872980&as_sdt=2005&sciodt=2007&hl=en",501,"2022-11-14 12:38:01","","","","",,,,,5,0.42,5,1,12,"… A campanha vitoriosa de Barack Obama teria arrecadado … para campanhas eleitorais, alguns países não obtêm resultados … ou a obrigação em publicizar sua receita, em vez de esperar …","","https://scholar.google.com/scholar?q=related:VPBbMrZs_vEJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Mompean","Yes, we can: Obama nos contratos de comunicação em construções midiáticas na campanha eleitoral dos EUA em 2008",2014,"","tede.pucsp.br","https://tede.pucsp.br/bitstream/handle/4674/1/Adriana%20Mompean.pdf","",551,"2022-11-14 12:38:01","PDF","","","",,,,,0,0.00,0,1,8,"… paradigmas estabelecidos em campanhas eleitorais norte-… Os resultados são apresentados no Capítulo 4, intitulado “A … de seu partido, notadamente nos gastos com imigração – suas …","https://tede.pucsp.br/bitstream/handle/4674/1/Adriana%20Mompean.pdf","https://scholar.google.com/scholar?q=related:aiRwjCNtZlkJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
11,"A Nascimento","São Tomé e Príncipe na idade adulta: a governação eo descaso da rua",2010,"Revista Tempo do Mundo","repositorio.iscte-iul.pt","https://repositorio.iscte-iul.pt/handle/10071/7707","https://scholar.google.com/scholar?cites=12267011660199912198&as_sdt=2005&sciodt=2007&hl=en",834,"2022-11-14 12:38:01","","","","",,,,,11,0.92,11,1,12,"… das receitas petrolíferas queda confinada a investimentos na … ,33 manifesta nos resultados das eleições de agosto de 2010… nos dias da campanha para as eleições locais e legislativas (…","https://repositorio.iscte-iul.pt/bitstream/10071/7707/1/STP-na-idade-adulta.pdf","https://scholar.google.com/scholar?q=related:BmPKjRwuPaoJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
134,"A Przeworski","A reforma do Estado",1996,"Responsabilidade política e intervenção econômica …","academia.edu","https://www.academia.edu/download/32237527/_politica_reis__REFORMA_DO_ESTADO_-_pzrworski.pdf","https://scholar.google.com/scholar?cites=16448094749193253398&as_sdt=2005&sciodt=2007&hl=en",337,"2022-11-14 12:38:01","PDF","","","",,,,,134,5.15,134,1,26,"… Mas aí entra o Estado: ele me cobra impostos e usa a receita … evidências das contribuições de campanha. Podem tomar … julgamentos baseados apenas nos resultados observados. …","https://www.academia.edu/download/32237527/_politica_reis__REFORMA_DO_ESTADO_-_pzrworski.pdf","https://scholar.google.com/scholar?q=related:FrKhVQdfQ-QJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Reis","Agenda-setting e agenda institucional: um estudo da campanha eleitoral de 2004 na cidade de São Paulo",2008,"","tede.pucsp.br","https://tede.pucsp.br/bitstream/handle/3913/1/Andrea%20Reis.pdf","",444,"2022-11-14 12:38:01","PDF","","","",,,,,0,0.00,0,1,14,"… Essa tese é o resultado de um crescimento intelectual e … eleitoral (HGPE), que contém a mensagem política pura; e nos … nos estudos das campanhas eleitorais durante as décadas de …","https://tede.pucsp.br/bitstream/handle/3913/1/Andrea%20Reis.pdf","https://scholar.google.com/scholar?q=related:JFpfLcTftAMJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
1,"A Reis","AGENDA-SETTING E AGENDA INSTITUCIONAL.",2004,"Um Estudo da Campanha Eleitoral de","","","https://scholar.google.com/scholar?cites=13276448046294042302&as_sdt=2005&sciodt=2007&hl=en",543,"2022-11-14 12:38:01","CITATION","","","",,,,,1,0.06,1,1,18,"","","https://scholar.google.com/scholar?q=related:vgZJDihrP7gJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
